User Input,Input 1,Paraphrase 1,Semantics 1,Input 2,Paraphrase 2,Semantics 2,Input 3,Paraphrase 3,Semantics 3,Input 4,Paraphrase 4,Semantics 4,Input 5,Paraphrase 5,Semantics 5
Input 9,"Following lunch, he will take a walk with Nurse Johnson.",A post-lunch walk with Nurse Johnson is on the agenda.,Yes.,Afternoon strolls with Nurse White are scheduled post-lunch.,Lunch is followed by afternoon walks with Nurse White for Mrs. Johnson.,Yes.,"Mr. Patel can expect an early dinner today at 17:00 and bedtime is as usual, planned for 21:30.","Tonight, Mr. Patel's dinner is at 5:00 PM, and bedtime remains unchanged at 9:30 PM.",Yes.,"Post-lunch, he'll have a walk accompanied by Nurse Anderson.","Lunch will be followed by a walk, with Nurse Anderson providing assistance.",Yes.,"Professor Rodriguez's bedtime remains consistent, scheduled for 21:30 as usual.",Professor Rodriguez's nightly routine includes bedtime at 9:30 p.m.,Yes.
Input 9,"Following lunch, he will take a walk with Nurse Johnson.","Following lunch, there's a scheduled walk with Nurse Johnson.",Yes.,Afternoon strolls with Nurse White are scheduled post-lunch.,Plan for Mrs. Johnson: afternoon strolls with Nurse White after lunch.,Yes.,"Mr. Patel can expect an early dinner today at 17:00 and bedtime is as usual, planned for 21:30.",Mr. Patel has an adjusted schedule today with dinner at 5:00 PM and bedtime at their regular time of 9:30 PM.,Yes.,"Post-lunch, he'll have a walk accompanied by Nurse Anderson.","She will take a walk with Nurse Anderson's help, after having lunch.",Yes.,"Professor Rodriguez's bedtime remains consistent, scheduled for 21:30 as usual.","Professor Rodriguez will get some rest tonight at 9:30 p.m., following his usual sleep pattern.",Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","After the walk, Mr. Gray can enjoy an afternoon nap from 3:00 PM to 4:30 PM.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Mrs. Johnson has scheduled relaxation time in the afternoon, from 3:00 to 4:30 PM.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.","My apologies, bedtime is actually at 10:30 PM.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","After that, She is scheduled for an afternoon nap between 3:00 and 4:30 PM.",Yes.,And that's the end of it.,That concludes today's schedule.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","Following the walk with Nurse Johnson, there's an optional nap time from 3:00 PM to 4:30 PM.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.",An afternoon nap is planned for Mrs. Johnson between 3:00 and 4:30.,Yes.,"No, actually bedtime is at 22:30. I’m sorry.","I made a mistake, bedtime is at 10:30 PM.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","She will have some rest time in the afternoon, from 3:00 to 4:30 PM.",Yes.,And that's the end of it.,This marks the end of the planned activities.,No.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","An afternoon nap is scheduled from 3:00 PM to 4:30 PM, following the walk.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Following lunch, Mrs. Johnson is scheduled for quiet time from 3:00 to 4:30 PM.",No.,"No, actually bedtime is at 22:30. I’m sorry.","Disregard that, bedtime is at 10:30 PM.",Yes.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","Scheduled for Ms. Smith next is an afternoon nap, from 3:00 to 4:30 PM.",Yes.,And that's the end of it.,There are no further events on the agenda.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.",Free time for an afternoon nap is available between 3:00 and 4:30 PM.,Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.",Mrs. Johnson's afternoon schedule includes rest time from 3:00 to 4:30.,Yes.,"No, actually bedtime is at 22:30. I’m sorry.","Actually, bedtime is at 10:30 PM. Please accept my apologies.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","Between 3:00 and 4:30 PM, She will be taking an afternoon nap.",Yes.,And that's the end of it.,This completes the day's itinerary.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","Following the walk, there's dedicated time for rest from 3:00 PM to 4:30 PM.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Between 3:00 and 4:30, Mrs. Johnson has dedicated time for afternoon rest.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.","You're right, bedtime is at 10:30 PM. I apologize for the confusion.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.",She has nap time from 3:00 to 4:30 PM on the schedule.,Yes.,And that's the end of it.,That's all for today's schedule.,Yes.
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.","Mr. Gray, dinner is served early today, at 5:00 PM.",Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,Mrs. Johnson will enjoy an early dinner tonight at 5:00 PM.,Yes.,That wraps it up.,We've covered everything for now.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Dinner tonight will be served early, at 5:00 PM sharp.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.","Tonight, Mr. Gray will be enjoying dinner at the earlier time of 5:00 PM.",Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,"Dinner for Mrs. Johnson is served early today, at 5:00 PM.",Yes.,That wraps it up.,That's all we have for today.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"She is scheduled for an early dinner today, at exactly 5:00 PM.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.",A 5:00 PM dinner is planned for Mr. Gray this evening.,Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,A 5:00 PM dinner is planned for Mrs. Johnson this evening.,Yes.,That wraps it up.,There's nothing else on the agenda.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Tonight's meal will be served at 5:00 PM, an earlier time than usual.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.",Be advised that Mr. Gray's dinner has been moved to 5:00 PM today.,Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,"Tonight, Mrs. Johnson has an early dinner scheduled for 5:00 PM.",Yes.,That wraps it up.,I believe that's all we need.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Please be aware that dinner will be ready at 5:00 PM today, which is earlier than usual.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.",Please note: Mr. Gray has an early dinner at 5:00 PM today.,Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,Please note that Mrs. Johnson's dinner is served at 5:00 PM today.,Yes.,That wraps it up.,Feel free to ask if anything else comes up.,No.,Ms. Smith will have an early dinner today served promptly at 17:00.,"She will be having dinner earlier today, at 5:00 PM precisely.",Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","Following his customary schedule, Mr. Gray will retire for the night at 9:30 PM.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.",Mrs. Johnson's bedtime is still 9:30 pm.,Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,She is scheduled to go to sleep at 9:30 PM tonight.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","In accordance with his usual routine, Mr. Gray is scheduled to sleep at 9:30 PM tonight.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.",The established bedtime for Mrs. Johnson remains at 9:30 pm.,Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Bedtime is set for 9:30 PM this evening.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","As per his customary practice, Mr. Gray's bedtime this evening is set for 9:30 PM.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.","There is no change to Mrs. Johnson's bedtime, which is 9:30 pm.",Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,She will be turning in for the night at 9:30 PM as usual.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","Continuing with his established pattern, Mr. Gray will be going to bed at 9:30 PM today.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.",9:30 pm continues to be Mrs. Johnson's designated sleep time.,Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Tonight's bedtime is planned for 9:30 PM.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","Consistent with his usual habits, Mr. Gray's sleep commences at 9:30 PM this evening.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.","As previously arranged, Mrs. Johnson should retire for the night at 9:30 pm.",Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Lights out for Ms. Smith are at 9:30 PM tonight.,Yes.,,,
Input 13,All set.,Ready to proceed.,Yes.,That concludes it.,That's all for now.,Yes.,,,,We're done here.,That concludes our discussion.,Yes.,,,
Input 13,All set.,Good to go.,Yes.,That concludes it.,We've reached the end.,Yes.,,,,We're done here.,We have covered everything for now.,Yes.,,,
Input 13,All set.,No further assistance needed.,Yes.,That concludes it.,This brings us to a close.,Yes.,,,,We're done here.,There's nothing further needed from us at this time.,Yes.,,,
Input 13,All set.,I understand and am prepared.,Yes.,That concludes it.,There's nothing further to discuss.,Yes.,,,,We're done here.,"If you have no other questions, I believe we're finished.",Yes.,,,
Input 13,All set.,All systems are a go.,Yes.,That concludes it.,I believe that covers everything.,Yes.,,,,We're done here.,"Feel free to reach out if anything else arises, otherwise this concludes our session.",Yes.,,,
