User Input,Input 1,Paraphrase 1,Semantics 1,Input 2,Paraphrase 2,Semantics 2,Input 3,Paraphrase 3,Semantics 3,Input 4,Paraphrase 4,Semantics 4,Input 5,Paraphrase 5,Semantics 5
Input 9,"Following lunch, he will take a walk with Nurse Johnson.","After having lunch, he will go for a walk with Nurse Johnson.",No.,Afternoon strolls with Nurse White are scheduled post-lunch.,Nurse White plans afternoon walks following lunch.,Yes.,"Mr. Patel can expect an early dinner today at 17:00 and bedtime is as usual, planned for 21:30.",Mr. Patel can anticipate having an early dinner today at 17:00 and bedtime is scheduled as usual for 21:30.,Yes.,"Post-lunch, he'll have a walk accompanied by Nurse Anderson.","Following lunch, he will enjoy a walk with Nurse Anderson.",Yes.,"Professor Rodriguez's bedtime remains consistent, scheduled for 21:30 as usual.",Professor Rodriguez continues to maintain his regular bedtime of 21:30 each night.,Yes.
Input 9,"Following lunch, he will take a walk with Nurse Johnson.","After lunch, he plans to take a stroll with Nurse Johnson.",No.,Afternoon strolls with Nurse White are scheduled post-lunch.,Nurse White organizes post-lunch walks in the afternoon.,Yes.,"Mr. Patel can expect an early dinner today at 17:00 and bedtime is as usual, planned for 21:30.","Mr. Patel can look forward to having an early dinner at 17:00 today, with bedtime scheduled as usual for 21:30.",Yes.,"Post-lunch, he'll have a walk accompanied by Nurse Anderson.","After eating lunch, he plans to take a stroll with Nurse Anderson.",Yes.,"Professor Rodriguez's bedtime remains consistent, scheduled for 21:30 as usual.",Professor Rodriguez consistently goes to bed at 21:30 as per his usual schedule.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","Afterwards, there is a scheduled nap in the afternoon from 3:00 to 4:30.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Next, Mrs. Johnson has planned to take a rest in the afternoon from 3:00 to 4:30.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.","I apologize, but bedtime is actually set for 22:30.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","After that, Ms. Smith will be taking an afternoon nap from 3:00 to 4:30.",Yes.,And that's the end of it.,That concludes the matter.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","After that, there is a planned rest in the afternoon from 3:00 to 4:30.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Later on, Mrs. Johnson has set aside time for an afternoon break from 3:00 to 4:30.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.","Sorry, but bedtime is scheduled for 22:30.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","Afterward, Ms. Smith has scheduled a nap in the afternoon from 3:00 to 4:30.",Yes.,And that's the end of it.,That wraps it up.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","After that, a scheduled afternoon nap is set for 3:00 to 4:30.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.",Mrs. Johnson will take an afternoon break from 3:00 to 4:30.,Yes.,"No, actually bedtime is at 22:30. I’m sorry.","I apologize, but bedtime is actually set for 22:30.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","Afterwards, Ms. Smith plans to take a nap in the afternoon, starting at 3:00 and ending at 4:30.",Yes.,And that's the end of it.,And that concludes the matter.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","Subsequent to this, an afternoon nap is scheduled from 3:00 to 4:30.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","At 3:00, Mrs. Johnson has an afternoon break scheduled until 4:30.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.",I'm afraid bedtime is scheduled for 22:30.,No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","Subsequently, Ms. Smith has scheduled an afternoon nap from 3:00 until 4:30.",Yes.,And that's the end of it.,And that wraps it up.,Yes.
Input 10,"Following that, there's a planned afternoon nap from 3:00 to 4:30.","After that, there is a scheduled afternoon rest from 3:00 to 4:30.",Yes.,"Then, Mrs. Johnson is scheduled for an afternoon rest between 3:00 and 4:30.","Following that, Mrs. Johnson has a scheduled break in the afternoon from 3:00 to 4:30.",Yes.,"No, actually bedtime is at 22:30. I’m sorry.","I'm sorry, but bedtime is actually at 22:30.",No.,"Following that, Ms. Smith is set for an afternoon snooze from 3:00 to 4:30.","After that, Ms. Smith plans to take an afternoon nap from 3:00 to 4:30.",Yes.,And that's the end of it.,That concludes the matter.,Yes.
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.","Tonight, Mr. Gray will be having dinner at 5:00.",Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,"Today at 17:00, Mrs. Johnson has a dinner planned for an early meal.",Yes.,That wraps it up.,That concludes our discussion.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Ms. Smith is scheduled to have her dinner earlier than usual today, which will be ready precisely at 5:00 PM.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.",Mr. Gray will be enjoying an early dinner today at 5:00.,Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,Mrs. Johnson has an early dinner planned for today at 17:00.,Yes.,That wraps it up.,That's a wrap.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Ms. Smith's dinner today will be served at 17:00, ahead of her usual dinner time.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.",The plan for Mr. Gray today includes an early dinner at 5:00.,Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,"Today at 17:00, there is a scheduled early dinner for Mrs. Johnson.",Yes.,That wraps it up.,That concludes everything.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Ms. Smith will enjoy an early dinner today, scheduled to be served promptly at 17:00.",Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.","Today, at 5:00 Mr. Gray will be having an early dinner.",Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,Mrs. Johnson has an early dinner planned at 17:00 today.,Yes.,That wraps it up.,That's a wrap.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,Ms. Smith will be served an early dinner today at 17:00 without any delays.,Yes.,,,
Input 11,"Today, an early dinner is on the menu at 5:00 for Mr. Gray.","Today, Mr. Gray will be enjoying an early dinner scheduled for 5:00.",Yes.,There's an early dinner scheduled today at 17:00 for Mrs. Johnson.,An early dinner has been arranged for Mrs. Johnson at 17:00 today.,Yes.,That wraps it up.,That concludes everything.,Yes.,Ms. Smith will have an early dinner today served promptly at 17:00.,"Ms. Smith will enjoy an early dinner today, promptly served at 17:00.",Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.",Mr. Gray's regular bedtime is set for 9:30 PM.,Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.",Mrs. Johnson's bedtime is still scheduled for 21:30.,Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Ms. Smith typically aims to go to bed at 9:30 PM.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.",Mr. Gray's nightly routine typically includes going to bed at 9:30 PM.,Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.","The bedtime for Mrs. Johnson is set at 21:30, and it has not been altered.",Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Ms. Smith typically sets her bedtime for 9:30 in the evening.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","According to the usual schedule, Mr. Gray is expected to go to bed at 9:30 PM.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.",Mrs. Johnson's bedtime remains scheduled for 21:30 and has not been adjusted.,Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Ms. Smith usually aims to go to bed at 9:30 PM.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","Mr. Gray's bedtime is set for 21:30, as per the usual schedule.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.","The bedtime for Mrs. Johnson is still at 21:30, unchanged.",Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Ms. Smith typically intends to settle into bed by 9:30 in the evening.,Yes.,,,
Input 12,"As per the usual routine, bedtime is scheduled for Mr. Gray at 21:30.","According to the usual schedule, Mr. Gray's bedtime is planned for 21:30.",Yes.,"Bedtime remains unchanged, set for 21:30 for Mrs. Johnson.","Mrs. Johnson's bedtime is still scheduled for 21:30, with no changes.",Yes.,,,,Ms. Smith's regular bedtime is planned for 21:30.,Ms. Smith usually schedules her bedtime at 9:30 PM.,Yes.,,,
Input 13,All set.,Everything is ready.,Yes.,That concludes it.,That wraps it up.,Yes.,,,,We're done here.,Our work is finished.,Yes.,,,
Input 13,All set.,Ready to go.,No.,That concludes it.,That's the end of it.,Yes.,,,,We're done here.,There is nothing more to do here.,Yes.,,,
Input 13,All set.,All good to proceed.,Yes.,That concludes it.,That wraps it up.,Yes.,,,,We're done here.,We have finished our work here.,Yes.,,,
Input 13,All set.,Ready to go.,Yes.,That concludes it.,That sums it up.,Yes.,,,,We're done here.,Our task here is complete.,Yes.,,,
Input 13,All set.,Everything is in place.,Yes,That concludes it.,That wraps it up.,Yes.,,,,We're done here.,There is nothing left for us to do.,Yes.,,,
